symbol,Encounter_date,price
MSFT,2006-10-30,39.81
MSFT,2006-11-01,36.35
MSFT,2006-11-06,43.22
MSFT,2006-11-07,28.37
MSFT,2006-11-20,25.45
MSFT,2006-11-29,32.54
MSFT,2007-03-11,28.4
MSFT,2007-03-12,28.4
MSFT,2007-04-18,24.53
MSFT,2007-04-20,28.02
MSFT,2007-04-25,23.34
MSFT,2007-04-26,17.65
MSFT,2007-04-27,24.84
MSFT,2007-09-20,24
MSFT,2007-11-30,22.25
MSFT,2008-02-03,27.56
MSFT,2008-02-06,28.14
MSFT,2008-06-17,29.7
MSFT,2008-06-20,26.93
MSFT,2008-06-23,23.21
MSFT,2008-07-08,20.82
MSFT,2008-07-17,23.65
MSFT,2008-07-21,26.12
MSFT,2008-09-24,26.95
MSFT,2008-09-24,25.92
MSFT,2008-11-04,23.73
MSFT,2008-11-05,24.53
MSFT,2008-11-05,21.26
MSFT,2008-11-06,20.71
MSFT,2008-11-06,22.25
MSFT,2008-11-06,19.52
MSFT,2008-11-07,19.97
MSFT,2008-11-07,17.79
MSFT,2008-11-07,21.75
MSFT,2008-11-07,23.46
MSFT,2008-11-08,21.03
MSFT,2008-11-25,19.31
MSFT,2009-02-05,19.34
MSFT,2009-02-11,19.76
MSFT,2009-02-11,20.87
MSFT,2009-02-12,20.09
MSFT,2009-02-12,20.93
MSFT,2009-02-12,21.56
MSFT,2009-02-13,21.65
MSFT,2009-02-25,22.69
MSFT,2009-03-11,21.45
MSFT,2009-03-12,21.1
MSFT,2009-03-13,22.46
MSFT,2009-03-17,22.69
MSFT,2009-03-17,21.77
MSFT,2009-03-25,20.46
MSFT,2009-03-25,21.45
MSFT,2009-04-03,21.53
MSFT,2009-04-06,23.44
MSFT,2009-04-08,23.38
MSFT,2009-04-14,22.47
MSFT,2009-04-17,22.76
MSFT,2009-05-20,23.02
MSFT,2009-06-09,24.6
MSFT,2009-06-23,24.52
MSFT,2009-07-16,24.11
MSFT,2009-07-23,23.15
MSFT,2009-07-24,22.24
MSFT,2009-07-25,23.28
MSFT,2009-07-27,23.82
MSFT,2009-11-04,22.93
MSFT,2010-01-17,23.64
MSFT,2010-03-17,25.35
MSFT,2010-04-13,23.83
MSFT,2010-04-13,23.8
MSFT,2010-04-14,25.71
MSFT,2010-04-22,24.29
MSFT,2010-04-28,26.14
MSFT,2010-05-07,25.04
MSFT,2010-05-11,25.36
MSFT,2010-05-13,22.5
MSFT,2010-07-28,21.19
MSFT,2010-07-28,21.8
MSFT,2010-07-29,22.51
MSFT,2010-07-29,24.13
MSFT,2010-07-30,25.68
MSFT,2010-07-30,26.96
MSFT,2011-01-13,27.66
MSFT,2011-01-24,28.13
MSFT,2011-01-26,29.07
MSFT,2011-02-03,26.63
MSFT,2011-02-07,26.35
MSFT,2011-02-22,28.3
MSFT,2011-02-23,29.11
MSFT,2011-02-28,27.95
MSFT,2011-02-28,27.5
MSFT,2011-03-01,27.34
MSFT,2011-03-10,28.04
MSFT,2011-03-23,35.03
MSFT,2011-03-23,32.09
MSFT,2011-03-24,34
MSFT,2011-03-24,31.13
MSFT,2011-03-24,26.07
MSFT,2011-04-01,27.21
MSFT,2011-04-08,27.34
MSFT,2011-04-11,27.25
MSFT,2011-04-14,26.47
MSFT,2011-04-15,24.75
MSFT,2011-04-18,26.36
MSFT,2011-04-18,25.78
MSFT,2011-04-20,21.57
MSFT,2011-10-17,19.66
MSFT,2011-11-23,18.91
MSFT,2011-12-09,16.63
MSFT,2012-01-17,15.81
MSFT,2012-02-21,17.99
MSFT,2012-05-09,19.84
MSFT,2012-05-11,20.59
MSFT,2012-05-14,23.42
MSFT,2012-05-15,23.18
MSFT,2012-06-17,24.43
MSFT,2012-07-17,25.49
MSFT,2012-07-18,27.48
MSFT,2012-07-18,29.27
MSFT,2012-07-19,30.34
MSFT,2012-07-19,28.05
MSFT,2012-07-20,28.67
MSFT,2012-07-25,28.8
AMZN,2012-07-26,64.56
AMZN,2012-08-03,68.87
AMZN,2012-10-03,67
AMZN,2012-10-03,55.19
AMZN,2012-10-03,48.31
AMZN,2012-10-03,36.31
AMZN,2012-10-09,30.12
AMZN,2012-10-09,41.5
AMZN,2012-12-26,38.44
AMZN,2013-01-16,36.62
AMZN,2013-03-22,24.69
AMZN,2013-04-03,15.56
AMZN,2013-04-04,17.31
AMZN,2013-04-04,10.19
AMZN,2013-09-23,10.23
AMZN,2013-09-23,15.78
AMZN,2013-09-25,16.69
AMZN,2013-09-25,14.15
AMZN,2013-09-25,12.49
AMZN,2013-09-25,8.94
AMZN,2013-09-25,5.97
AMZN,2013-09-25,6.98
AMZN,2013-09-28,11.32
AMZN,2013-09-28,10.82
AMZN,2013-09-29,14.19
AMZN,2013-09-30,14.1
AMZN,2013-09-30,14.3
AMZN,2013-09-30,16.69
AMZN,2013-09-30,18.23
AMZN,2013-09-30,16.25
AMZN,2013-10-01,14.45
AMZN,2013-10-01,14.94
AMZN,2013-10-02,15.93
AMZN,2013-10-03,19.36
AMZN,2013-10-04,23.35
AMZN,2013-10-09,18.89
AMZN,2013-10-11,21.85
AMZN,2013-10-12,22.01
AMZN,2013-10-15,26.03
AMZN,2013-10-15,28.69
AMZN,2013-10-16,35.89
AMZN,2013-10-16,36.32
AMZN,2013-10-17,41.64
AMZN,2013-10-17,46.32
AMZN,2013-10-21,48.43
AMZN,2013-10-22,54.43
AMZN,2013-10-23,53.97
AMZN,2013-10-28,52.62
AMZN,2013-10-30,50.4
AMZN,2013-10-31,43.01
AMZN,2013-11-01,43.28
AMZN,2013-11-04,43.6
AMZN,2013-11-05,48.5
AMZN,2013-11-05,54.4
AMZN,2013-11-07,38.92
AMZN,2013-11-08,38.14
AMZN,2013-11-12,40.86
AMZN,2013-11-12,34.13
AMZN,2013-11-12,39.68
AMZN,2013-11-12,44.29
AMZN,2013-11-13,43.22
AMZN,2013-11-13,35.18
AMZN,2013-11-13,34.27
AMZN,2013-11-14,32.36
AMZN,2013-11-15,35.51
AMZN,2013-11-18,33.09
AMZN,2013-11-19,45.15
AMZN,2013-11-20,42.7
AMZN,2013-11-20,45.3
AMZN,2013-11-21,39.86
AMZN,2013-11-21,48.46
AMZN,2013-11-21,47.15
AMZN,2013-11-22,44.82
AMZN,2013-11-22,37.44
AMZN,2013-11-25,36.53
AMZN,2013-11-25,35.21
AMZN,2013-11-26,34.61
AMZN,2013-11-26,38.68
AMZN,2013-11-27,26.89
AMZN,2013-11-27,30.83
AMZN,2013-12-02,32.12
AMZN,2013-12-03,38.09
AMZN,2013-12-04,40.34
AMZN,2013-12-05,39.46
AMZN,2013-12-10,37.67
AMZN,2013-12-11,39.14
AMZN,2013-12-11,39.79
AMZN,2013-12-12,61.33
AMZN,2013-12-13,69.14
AMZN,2013-12-16,68.41
AMZN,2013-12-17,78.54
AMZN,2013-12-18,79.91
AMZN,2013-12-31,93.15
AMZN,2014-01-12,89.15
AMZN,2014-01-17,90.56
AMZN,2014-02-04,92.64
AMZN,2014-02-06,77.7
AMZN,2014-02-06,64.47
AMZN,2014-02-07,71.3
AMZN,2014-02-11,78.63
AMZN,2014-02-11,81.62
AMZN,2014-02-11,73.33
AMZN,2014-02-11,76.34
AMZN,2014-02-12,80.81
AMZN,2014-02-14,72.76
AMZN,2014-02-18,57.24
AMZN,2014-02-27,42.7
AMZN,2014-03-10,51.28
AMZN,2014-03-14,58.82
AMZN,2014-03-26,64.79
AMZN,2014-03-31,73.44
AMZN,2014-04-01,80.52
AMZN,2014-04-02,77.99
AMZN,2014-04-02,83.66
AMZN,2014-04-03,85.76
AMZN,2014-04-03,81.19
AMZN,2014-04-03,93.36
AMZN,2014-04-08,118.81
AMZN,2014-04-09,135.91
AMZN,2014-04-14,134.52
AMZN,2014-04-14,125.41
AMZN,2014-04-15,118.4
AMZN,2014-04-16,128.82
IBM,2014-04-17,100.52
IBM,2014-04-17,92.11
IBM,2014-04-21,106.11
IBM,2014-04-21,99.95
IBM,2014-04-22,96.31
IBM,2014-04-23,98.33
IBM,2014-04-25,100.74
IBM,2014-04-28,118.62
IBM,2014-04-28,101.19
IBM,2014-04-30,88.5
IBM,2014-05-01,84.12
IBM,2014-05-01,76.47
IBM,2014-05-01,100.76
IBM,2014-05-05,89.98
IBM,2014-05-05,86.63
IBM,2014-05-05,103.7
IBM,2014-05-06,100.82
IBM,2014-05-09,102.35
IBM,2014-05-12,94.87
IBM,2014-05-12,90.25
IBM,2014-05-13,82.82
IBM,2014-05-13,97.58
IBM,2014-05-14,104.5
IBM,2014-05-14,109.36
IBM,2014-05-14,97.54
IBM,2014-05-15,88.82
IBM,2014-05-19,94.15
IBM,2014-05-19,75.82
IBM,2014-05-21,72.97
IBM,2014-05-28,65.31
IBM,2014-05-28,63.86
IBM,2014-05-30,68.52
IBM,2014-06-02,53.01
IBM,2014-06-04,71.76
IBM,2014-06-05,79.16
IBM,2014-06-09,70.58
IBM,2014-06-09,71.22
IBM,2014-06-10,71.13
IBM,2014-06-11,71.57
IBM,2014-06-12,77.47
IBM,2014-06-12,80.48
IBM,2014-06-18,75.42
IBM,2014-06-19,74.28
IBM,2014-06-23,75.12
IBM,2014-06-23,80.91
IBM,2014-06-25,81.96
IBM,2014-06-26,83.08
IBM,2014-06-26,85.05
IBM,2014-06-26,91.06
IBM,2014-07-02,88.7
IBM,2014-07-02,84.41
IBM,2014-07-07,81.04
IBM,2014-07-08,81.59
